timestamp,OSCaddress,typetag,timetag,,,
0,/motion/s1/quat,ffff,-0.6403198,0.45098877,0.54907227,-0.29174805
1,/motion/s1/aaWorld,iii,2198,-126,7695,
1,/motion/s1/aaReal,iii,3775,-6696,-2232,
1,/motion/s1/aa,iii,7380,-14052,-2312,
1,/motion/s1/ypr,fff,28.203388,153.89517,269.37823,
7,/motion/s1/quat,ffff,-0.6373291,0.44610596,0.55352783,-0.29736328
7,/motion/s1/aaWorld,iii,1940,-21,7749,
7,/motion/s1/aaReal,iii,3801,-6744,-1973,
7,/motion/s1/aa,iii,7408,-14100,-2062,
7,/motion/s1/ypr,fff,28.624136,153.88078,269.31146,
14,/motion/s1/quat,ffff,-0.6343384,0.4411621,0.5578613,-0.30297852
14,/motion/s1/aaWorld,iii,2024,27,7413,
15,/motion/s1/aaReal,iii,3682,-6425,-2054,
15,/motion/s1/aa,iii,7290,-13780,-2150,
15,/motion/s1/ypr,fff,29.064707,153.86969,269.25638,
22,/motion/s1/quat,ffff,-0.63134766,0.4360962,0.5621948,-0.3085327
22,/motion/s1/aaWorld,iii,2106,-10,7193,
22,/motion/s1/aaReal,iii,3535,-6249,-2154,
22,/motion/s1/aa,iii,7146,-13602,-2256,
22,/motion/s1/ypr,fff,29.573498,153.84727,269.2053,
35,/motion/s1/quat,ffff,-0.6282959,0.43084717,0.5664673,-0.31420898
35,/motion/s1/aaWorld,iii,2084,-63,7257,
35,/motion/s1/aaReal,iii,3480,-6346,-2155,
35,/motion/s1/aa,iii,7094,-13698,-2262,
35,/motion/s1/ypr,fff,30.125107,153.828,269.16803,
44,/motion/s1/quat,ffff,-0.6251831,0.42559814,0.57073975,-0.31982422
44,/motion/s1/aaWorld,iii,2274,286,6997,
44,/motion/s1/aaReal,iii,3670,-5959,-2291,
44,/motion/s1/aa,iii,7286,-13310,-2404,
44,/motion/s1/ypr,fff,30.825718,153.80727,269.1229,
54,/motion/s1/quat,ffff,-0.62213135,0.42022705,0.5749512,-0.32531738
54,/motion/s1/aaWorld,iii,2078,578,6148,
54,/motion/s1/aaReal,iii,3495,-5100,-2057,
54,/motion/s1/aa,iii,7116,-12448,-2174,
54,/motion/s1/ypr,fff,31.645313,153.77104,269.08786,
74,/motion/s1/quat,ffff,-0.61901855,0.41479492,0.5791626,-0.33062744
74,/motion/s1/aaWorld,iii,1556,394,5425,
74,/motion/s1/aaReal,iii,2925,-4581,-1573,
74,/motion/s1/aa,iii,6552,-11926,-1696,
74,/motion/s1/ypr,fff,32.77816,153.72069,269.04236,
80,/motion/s1/quat,ffff,-0.6158447,0.4093628,0.583374,-0.33581543
80,/motion/s1/aaWorld,iii,1772,203,5171,
80,/motion/s1/aaReal,iii,2642,-4431,-1820,
80,/motion/s1/aa,iii,6276,-11772,-1950,
80,/motion/s1/ypr,fff,34.33972,153.66481,268.98553,
84,/motion/s1/quat,ffff,-0.61260986,0.40393066,0.5877075,-0.34088135
84,/motion/s1/aaWorld,iii,1652,163,5406,
84,/motion/s1/aaReal,iii,2677,-4675,-1722,
84,/motion/s1/aa,iii,6320,-12012,-1862,
84,/motion/s1/ypr,fff,36.60931,153.5982,268.9081,
97,/motion/s1/quat,ffff,-0.60931396,0.3982544,0.59198,-0.34588623
97,/motion/s1/aaWorld,iii,1602,361,5758,
97,/motion/s1/aaReal,iii,2987,-4913,-1675,
97,/motion/s1/aa,iii,6640,-12244,-1824,
97,/motion/s1/ypr,fff,39.933964,153.51744,268.8383,
101,/motion/s1/quat,ffff,-0.60614014,0.39233398,0.5963745,-0.350708
101,/motion/s1/aaWorld,iii,1461,676,6146,
101,/motion/s1/aaReal,iii,3419,-5130,-1538,
101,/motion/s1/aa,iii,7088,-12454,-1696,
101,/motion/s1/ypr,fff,45.091164,153.39815,268.77045,
115,/motion/s1/quat,ffff,-0.60302734,0.38623047,0.600708,-0.3554077
115,/motion/s1/aaWorld,iii,1519,943,6074,
115,/motion/s1/aaReal,iii,3614,-4946,-1603,
115,/motion/s1/aa,iii,7300,-12260,-1768,
115,/motion/s1/ypr,fff,54.079422,153.25908,268.7124,
122,/motion/s1/quat,ffff,-0.5999756,0.38006592,0.60491943,-0.35998535
122,/motion/s1/aaWorld,iii,1485,1211,5632,
122,/motion/s1/aaReal,iii,3641,-4434,-1577,
122,/motion/s1/aa,iii,7346,-11738,-1748,
122,/motion/s1/ypr,fff,72.38914,153.11086,268.66248,
134,/motion/s1/quat,ffff,-0.59710693,0.37390137,0.60894775,-0.36437988
134,/motion/s1/aaWorld,iii,1394,1353,5067,
134,/motion/s1/aaReal,iii,3500,-3868,-1499,
134,/motion/s1/aa,iii,7226,-11162,-1674,
134,/motion/s1/ypr,fff,109.90184,152.95038,268.62885,
147,/motion/s1/quat,ffff,-0.59436035,0.36779785,0.612854,-0.36853027
147,/motion/s1/aaWorld,iii,1370,1322,4186,
147,/motion/s1/aaReal,iii,3060,-3099,-1481,
147,/motion/s1/aa,iii,6808,-10382,-1660,
147,/motion/s1/ypr,fff,150.94682,152.7774,268.59604,
158,/motion/s1/quat,ffff,-0.59173584,0.36187744,0.61657715,-0.37243652
158,/motion/s1/aaWorld,iii,1317,1355,3693,
158,/motion/s1/aaReal,iii,2852,-2647,-1441,
158,/motion/s1/aa,iii,6622,-9918,-1624,
158,/motion/s1/ypr,fff,171.74428,152.60277,268.56314,
168,/motion/s1/quat,ffff,-0.5890503,0.35620117,0.6201782,-0.37609863
168,/motion/s1/aaWorld,iii,1404,1322,3383,
168,/motion/s1/aaReal,iii,2663,-2388,-1543,
168,/motion/s1/aa,iii,6454,-9648,-1732,
168,/motion/s1/ypr,fff,181.38675,152.43652,268.5087,
178,/motion/s1/quat,ffff,-0.58636475,0.35076904,0.6237793,-0.3795166
178,/motion/s1/aaWorld,iii,1422,998,3604,
178,/motion/s1/aaReal,iii,2464,-2735,-1569,
178,/motion/s1/aa,iii,6276,-9984,-1768,
178,/motion/s1/ypr,fff,186.42686,152.27159,268.42798,
182,/motion/s1/quat,ffff,-0.5836792,0.34552002,0.62719727,-0.3828125
182,/motion/s1/aaWorld,iii,1532,605,4149,
182,/motion/s1/aaReal,iii,2351,-3404,-1680,
182,/motion/s1/aa,iii,6182,-10642,-1890,
182,/motion/s1/ypr,fff,189.56662,152.11935,268.34467,
193,/motion/s1/quat,ffff,-0.58099365,0.340271,0.6305542,-0.3861084
193,/motion/s1/aaWorld,iii,1269,474,4685,
193,/motion/s1/aaReal,iii,2500,-3936,-1432,
193,/motion/s1/aa,iii,6350,-11164,-1652,
193,/motion/s1/ypr,fff,191.82237,151.97054,268.2635,
204,/motion/s1/quat,ffff,-0.5784912,0.3348999,0.63360596,-0.38952637
204,/motion/s1/aaWorld,iii,818,321,5382,
204,/motion/s1/aaReal,iii,2736,-4612,-994,
204,/motion/s1/aa,iii,6604,-11830,-1218,
204,/motion/s1/ypr,fff,193.8795,151.8249,268.22974,
214,/motion/s1/quat,ffff,-0.57611084,0.32958984,0.6364746,-0.3928833
214,/motion/s1/aaWorld,iii,590,514,5751,
214,/motion/s1/aaReal,iii,3107,-4836,-806,
214,/motion/s1/aa,iii,6994,-12044,-1032,
214,/motion/s1/ypr,fff,195.56902,151.68076,268.2119,
230,/motion/s1/quat,ffff,-0.5739136,0.32458496,0.6390381,-0.3961792
230,/motion/s1/aaWorld,iii,318,512,5223,
230,/motion/s1/aaReal,iii,2892,-4359,-527,
230,/motion/s1/aa,iii,6794,-11560,-752,
230,/motion/s1/ypr,fff,196.99687,151.55667,268.21503,
233,/motion/s1/quat,ffff,-0.5718384,0.31976318,0.6412964,-0.39935303
233,/motion/s1/aaWorld,iii,1013,632,4987,
233,/motion/s1/aaReal,iii,2789,-4124,-1230,
233,/motion/s1/aa,iii,6706,-11316,-1452,
233,/motion/s1/ypr,fff,198.2294,151.44232,268.23663,
242,/motion/s1/quat,ffff,-0.5698242,0.31530762,0.64349365,-0.40222168
242,/motion/s1/aaWorld,iii,1349,160,5428,
242,/motion/s1/aaReal,iii,2538,-4755,-1504,
242,/motion/s1/aa,iii,6468,-11940,-1726,
242,/motion/s1/ypr,fff,199.11409,151.33308,268.23523,
254,/motion/s1/quat,ffff,-0.56781006,0.31134033,0.6454468,-0.4050293
254,/motion/s1/aaWorld,iii,1509,-181,6028,
254,/motion/s1/aaReal,iii,2499,-5458,-1620,
254,/motion/s1/aa,iii,6438,-12638,-1842,
254,/motion/s1/ypr,fff,199.79189,151.26346,268.23038,
262,/motion/s1/quat,ffff,-0.5657959,0.30786133,0.6472168,-0.4076538
263,/motion/s1/aaWorld,iii,1952,-83,6718,
263,/motion/s1/aaReal,iii,2830,-6049,-2089,
263,/motion/s1/aa,iii,6774,-13226,-2314,
263,/motion/s1/ypr,fff,200.25125,151.2234,268.2111,
273,/motion/s1/quat,ffff,-0.5637207,0.30456543,0.6489868,-0.41027832
273,/motion/s1/aaWorld,iii,2605,-344,6718,
273,/motion/s1/aaReal,iii,2475,-6224,-2679,
273,/motion/s1/aa,iii,6422,-13400,-2908,
273,/motion/s1/ypr,fff,200.5989,151.19986,268.17987,
287,/motion/s1/quat,ffff,-0.56134033,0.30133057,0.65075684,-0.41308594
287,/motion/s1/aaWorld,iii,2847,-829,6594,
287,/motion/s1/aaReal,iii,1930,-6376,-2812,
287,/motion/s1/aa,iii,5876,-13552,-3046,
287,/motion/s1/ypr,fff,200.82384,151.2082,268.13373,
294,/motion/s1/quat,ffff,-0.5586548,0.2979126,0.6526489,-0.4161377
294,/motion/s1/aaWorld,iii,2959,-1114,6543,
294,/motion/s1/aaReal,iii,1611,-6489,-2850,
294,/motion/s1/aa,iii,5554,-13666,-3092,
294,/motion/s1/ypr,fff,200.9918,151.2309,268.07547,
302,/motion/s1/quat,ffff,-0.5559082,0.29431152,0.654541,-0.41949463
302,/motion/s1/aaWorld,iii,2754,-772,6605,
302,/motion/s1/aaReal,iii,1943,-6378,-2711,
302,/motion/s1/aa,iii,5882,-13558,-2958,
302,/motion/s1/ypr,fff,201.24203,151.26364,268.03723,
319,/motion/s1/quat,ffff,-0.5531006,0.29040527,0.65649414,-0.42279053
319,/motion/s1/aaWorld,iii,2604,-307,6934,
319,/motion/s1/aaReal,iii,2500,-6448,-2672,
319,/motion/s1/aa,iii,6438,-13628,-2924,
319,/motion/s1/ypr,fff,201.485,151.27165,267.9971,
323,/motion/s1/quat,ffff,-0.55029297,0.28625488,0.6586304,-0.4260254
323,/motion/s1/aaWorld,iii,2430,29,7402,
323,/motion/s1/aaReal,iii,3025,-6695,-2594,
323,/motion/s1/aa,iii,6966,-13874,-2852,
323,/motion/s1/ypr,fff,201.7192,151.25261,267.94666,
338,/motion/s1/quat,ffff,-0.5474243,0.2821045,0.6607666,-0.42913818
338,/motion/s1/aaWorld,iii,2446,164,7710,
338,/motion/s1/aaReal,iii,3259,-6913,-2654,
338,/motion/s1/aa,iii,7202,-14090,-2920,
338,/motion/s1/ypr,fff,201.89053,151.22952,267.88422,
343,/motion/s1/quat,ffff,-0.5444336,0.27801514,0.66296387,-0.43218994
343,/motion/s1/aaWorld,iii,2264,165,8059,
343,/motion/s1/aaReal,iii,3448,-7211,-2494,
343,/motion/s1/aa,iii,7394,-14386,-2770,
343,/motion/s1/ypr,fff,201.983,151.21237,267.80173,
353,/motion/s1/quat,ffff,-0.5414429,0.27404785,0.6651001,-0.43518066
353,/motion/s1/aaWorld,iii,2252,119,8234,
353,/motion/s1/aaReal,iii,3473,-7394,-2481,
353,/motion/s1/aa,iii,7420,-14568,-2768,
353,/motion/s1/ypr,fff,202.04892,151.20316,267.71643,
364,/motion/s1/quat,ffff,-0.5383301,0.27020264,0.6672363,-0.4381714
364,/motion/s1/aaWorld,iii,2606,56,8522,
364,/motion/s1/aaReal,iii,3436,-7726,-2817,
364,/motion/s1/aa,iii,7382,-14900,-3116,
364,/motion/s1/ypr,fff,202.0585,151.2105,267.6183,
374,/motion/s1/quat,ffff,-0.5350342,0.2664795,0.66937256,-0.44122314
374,/motion/s1/aaWorld,iii,2921,-167,8316,
374,/motion/s1/aaReal,iii,3028,-7699,-3045,
374,/motion/s1/aa,iii,6970,-14874,-3358,
374,/motion/s1/ypr,fff,202.01033,151.2417,267.50708,
384,/motion/s1/quat,ffff,-0.5315552,0.26281738,0.67144775,-0.44439697
384,/motion/s1/aaWorld,iii,3341,-364,8086,
384,/motion/s1/aaReal,iii,2591,-7656,-3373,
384,/motion/s1/aa,iii,6526,-14834,-3700,
384,/motion/s1/ypr,fff,201.93542,151.29797,267.39423,
401,/motion/s1/quat,ffff,-0.5279541,0.2592163,0.6734619,-0.44781494
401,/motion/s1/aaWorld,iii,3472,-229,7572,
401,/motion/s1/aaReal,iii,2368,-7176,-3514,
401,/motion/s1/aa,iii,6292,-14360,-3854,
401,/motion/s1/ypr,fff,201.87346,151.38356,267.29233,
404,/motion/s1/quat,ffff,-0.524292,0.2555542,0.67541504,-0.4512329
404,/motion/s1/aaWorld,iii,3413,-38,7193,
404,/motion/s1/aaReal,iii,2313,-6767,-3501,
404,/motion/s1/aa,iii,6226,-13956,-3854,
404,/motion/s1/ypr,fff,201.81647,151.47078,267.1946,
412,/motion/s1/quat,ffff,-0.5204468,0.2518921,0.67736816,-0.45477295
412,/motion/s1/aaWorld,iii,3074,38,6965,
412,/motion/s1/aaReal,iii,2328,-6507,-3196,
412,/motion/s1/aa,iii,6228,-13702,-3562,
412,/motion/s1/ypr,fff,201.73796,151.57684,267.09338,
424,/motion/s1/quat,ffff,-0.51660156,0.24810791,0.6793823,-0.458313
424,/motion/s1/aaWorld,iii,3182,303,7110,
424,/motion/s1/aaReal,iii,2528,-6546,-3397,
424,/motion/s1/aa,iii,6416,-13748,-3776,
424,/motion/s1/ypr,fff,201.6801,151.67345,266.99228,
434,/motion/s1/quat,ffff,-0.51257324,0.24407959,0.6813965,-0.4619751
434,/motion/s1/aaWorld,iii,3229,265,7592,
434,/motion/s1/aaReal,iii,2657,-7014,-3447,
434,/motion/s1/aa,iii,6532,-14222,-3838,
434,/motion/s1/ypr,fff,201.63544,151.77075,266.89508,
446,/motion/s1/quat,ffff,-0.5084839,0.23968506,0.68341064,-0.46575928
446,/motion/s1/aaWorld,iii,3107,119,7412,
446,/motion/s1/aaReal,iii,2449,-6926,-3264,
446,/motion/s1/aa,iii,6314,-14138,-3666,
446,/motion/s1/ypr,fff,201.64815,151.85257,266.81354,
452,/motion/s1/quat,ffff,-0.50427246,0.23516846,0.68548584,-0.46966553
452,/motion/s1/aaWorld,iii,2939,306,7252,
452,/motion/s1/aaReal,iii,2536,-6696,-3171,
452,/motion/s1/aa,iii,6390,-13914,-3584,
452,/motion/s1/ypr,fff,201.6645,151.93918,266.73138,
465,/motion/s1/quat,ffff,-0.5,0.23059082,0.6875,-0.47351074
465,/motion/s1/aaWorld,iii,2984,633,7069,
465,/motion/s1/aaReal,iii,2642,-6417,-3335,
465,/motion/s1/aa,iii,6486,-13640,-3758,
465,/motion/s1/ypr,fff,201.67407,152.02368,266.64954,
477,/motion/s1/quat,ffff,-0.49560547,0.22607422,0.68951416,-0.47729492
477,/motion/s1/aaWorld,iii,3023,1173,7003,
477,/motion/s1/aaReal,iii,2967,-6148,-3600,
477,/motion/s1/aa,iii,6798,-13376,-4036,
477,/motion/s1/ypr,fff,201.6463,152.11763,266.5556,
487,/motion/s1/quat,ffff,-0.49121094,0.22161865,0.69158936,-0.48101807
487,/motion/s1/aaWorld,iii,2978,1507,7160,
487,/motion/s1/aaReal,iii,3264,-6155,-3725,
487,/motion/s1/aa,iii,7084,-13390,-4174,
487,/motion/s1/ypr,fff,201.60637,152.21265,266.45258,
495,/motion/s1/quat,ffff,-0.48675537,0.21728516,0.6935425,-0.48468018
495,/motion/s1/aaWorld,iii,2928,1536,6929,
495,/motion/s1/aaReal,iii,3142,-5953,-3692,
495,/motion/s1/aa,iii,6948,-13194,-4154,
495,/motion/s1/ypr,fff,201.54506,152.3211,266.35074,
508,/motion/s1/quat,ffff,-0.48223877,0.2130127,0.6954956,-0.4882202
508,/motion/s1/aaWorld,iii,3164,1691,7131,
508,/motion/s1/aaReal,iii,3192,-6129,-3997,
508,/motion/s1/aa,iii,6984,-13376,-4474,
508,/motion/s1/ypr,fff,201.45825,152.43239,266.2372,
513,/motion/s1/quat,ffff,-0.47766113,0.20880127,0.69750977,-0.49169922
513,/motion/s1/aaWorld,iii,3038,1762,7421,
513,/motion/s1/aaReal,iii,3375,-6356,-3952,
513,/motion/s1/aa,iii,7152,-13610,-4446,
513,/motion/s1/ypr,fff,201.35161,152.54895,266.11102,
527,/motion/s1/quat,ffff,-0.47302246,0.20465088,0.6994629,-0.49505615
527,/motion/s1/aaWorld,iii,3140,1681,7536,
527,/motion/s1/aaReal,iii,3257,-6534,-4023,
527,/motion/s1/aa,iii,7018,-13794,-4534,
527,/motion/s1/ypr,fff,201.22588,152.67006,265.97855,
533,/motion/s1/quat,ffff,-0.46820068,0.20050049,0.70147705,-0.49847412
533,/motion/s1/aaWorld,iii,2945,1733,7602,
533,/motion/s1/aaReal,iii,3354,-6558,-3902,
533,/motion/s1/aa,iii,7098,-13826,-4432,
533,/motion/s1/ypr,fff,201.08018,152.80667,265.83606,
546,/motion/s1/quat,ffff,-0.46343994,0.19641113,0.7034912,-0.50177
546,/motion/s1/aaWorld,iii,2561,1942,8006,
546,/motion/s1/aaReal,iii,3819,-6779,-3729,
546,/motion/s1/aa,iii,7546,-14054,-4278,
546,/motion/s1/ypr,fff,200.93686,152.93936,265.69,
554,/motion/s1/quat,ffff,-0.45874023,0.19232178,0.70544434,-0.50494385
554,/motion/s1/aaWorld,iii,2380,2145,8249,
554,/motion/s1/aaReal,iii,4110,-6896,-3724,
554,/motion/s1/aa,iii,7822,-14178,-4292,
554,/motion/s1/ypr,fff,200.80466,153.0646,265.5466,
561,/motion/s1/quat,ffff,-0.45410156,0.18829346,0.7073364,-0.5079956
561,/motion/s1/aaWorld,iii,2195,2086,8659,
561,/motion/s1/aaReal,iii,4290,-7269,-3592,
561,/motion/s1/aa,iii,7986,-14558,-4178,
561,/motion/s1/ypr,fff,200.67618,153.18704,265.4044,
587,/motion/s1/quat,ffff,-0.449646,0.18444824,0.7089844,-0.5109863
587,/motion/s1/aaWorld,iii,2004,2258,8888,
587,/motion/s1/aaReal,iii,4563,-7387,-3570,
587,/motion/s1/aa,iii,8242,-14682,-4172,
